City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Blackmans Bay,-43.0167,147.3167,12.07,78,100,3.02,AU,1684791736
1,Turabah,21.2141,41.6331,27.58,33,32,1.72,SA,1684791983
2,Qaqortoq,60.7167,-46.0333,-0.47,97,100,10.7,GL,1684791984
3,Nagqu Prefecture,31.5,92.0,-1.96,34,14,1.33,CN,1684791856
4,Hermanus,-34.4187,19.2345,14.33,61,100,2.98,ZA,1684791984
5,Iskateley,67.6803,53.1512,8.92,75,33,3.72,RU,1684791984
6,Walvis Bay,-22.9575,14.5053,12.83,100,2,1.03,NA,1684791985
7,Grytviken,-54.2811,-36.5092,4.62,98,100,2.75,GS,1684791985
8,Anadyr,64.75,177.4833,0.28,100,100,2.0,RU,1684791985
9,Labytnangi,66.6572,66.4183,9.65,81,12,3.51,RU,1684791985
10,Vielha e Mijaran,42.6846,0.7726,6.15,97,95,0.9,ES,1684791986
11,West Island,-12.1568,96.8225,24.99,94,13,0.0,CC,1684791986
12,Edinburgh of the Seven Seas,-37.0676,-12.3116,13.11,65,68,11.45,SH,1684791986
13,Avarua,-21.2078,-159.775,25.03,65,75,3.09,CK,1684791986
14,Puerto Ayora,-0.7393,-90.3518,27.98,96,36,3.78,EC,1684791987
15,Vadsø,70.0744,29.7487,7.49,87,40,5.14,NO,1684791987
16,Albany,42.6001,-73.9662,22.54,47,40,1.65,US,1684791914
17,Alice Springs,-23.7,133.8833,1.75,100,0,2.34,AU,1684791987
18,Invercargill,-46.4,168.35,9.54,85,99,5.64,NZ,1684791775
19,Nuuk,64.1835,-51.7216,1.34,75,75,4.63,GL,1684791987
20,Waitangi,-43.9535,-176.5597,13.79,96,6,0.45,NZ,1684791737
21,Northam,51.0333,-4.2167,12.99,77,6,3.62,GB,1684791868
22,Huanta,-12.9333,-74.25,24.22,52,57,2.51,PE,1684791988
23,Puerto Natales,-51.7236,-72.4875,-0.52,88,100,1.65,CL,1684791737
24,Adamstown,-25.066,-130.1015,24.4,84,100,10.29,PN,1684791988
25,Port-aux-Français,-49.35,70.2167,7.08,82,73,9.87,TF,1684791988
26,Huilong,31.8111,121.655,15.37,76,47,3.33,CN,1684791989
27,Bosa,40.2993,8.4983,17.05,90,86,1.65,IT,1684791989
28,Tchin Tabaradèn,15.8969,5.7985,33.49,27,99,3.75,NE,1684791989
29,Banda Aceh,5.5577,95.3222,26.85,82,97,0.3,ID,1684791989
30,Constanța,44.1833,28.65,16.38,88,17,4.91,RO,1684791990
31,Thompson,55.7435,-97.8558,19.09,39,100,4.12,CA,1684791990
32,Uruçuí,-7.2294,-44.5561,28.79,48,29,1.15,BR,1684791990
33,Ushuaia,-54.8,-68.3,4.81,56,20,1.54,AR,1684791939
34,Puerto Deseado,-47.7503,-65.8938,6.42,59,0,6.47,AR,1684791991
35,Praia da Vitória,38.7333,-27.0667,18.14,82,20,5.21,PT,1684791991
36,Pudozh,61.8099,36.5345,12.16,91,99,2.19,RU,1684791991
37,Puerto Baquerizo Moreno,-0.9,-89.6,27.55,78,40,5.14,EC,1684791747
38,Yuma,32.7253,-114.6244,37.91,15,0,6.36,US,1684791792
39,Mohr,54.3528,9.7167,14.52,91,100,3.6,DE,1684791992
40,Sauðarkrokur,65.7461,-19.6394,6.28,62,78,3.89,IS,1684791992
41,Kolyvan',55.3053,82.7391,6.79,48,7,3.21,RU,1684791993
42,Lázaro Cárdenas,17.9583,-102.2,30.91,62,1,5.47,MX,1684791980
43,Xinqing,48.2333,129.5,13.82,52,15,2.17,CN,1684791993
44,Polyarny,69.1989,33.4478,10.85,77,70,2.78,RU,1684791993
45,Olonkinbyen,70.9221,-8.7187,1.11,92,54,4.63,SJ,1684791994
46,Bethel,41.3712,-73.414,22.14,57,75,4.12,US,1684791994
47,Chemax,20.65,-87.9333,35.2,32,27,4.1,MX,1684791994
48,Santa Marta,11.2408,-74.199,31.03,74,40,6.17,CO,1684791786
49,Lauro de Freitas,-12.8944,-38.3272,28.01,69,75,6.17,BR,1684791995
50,Bamboo Flat,11.7,92.7167,27.05,89,20,1.03,IN,1684791870
51,Flying Fish Cove,-10.4217,105.6791,25.82,83,75,4.12,CX,1684791995
52,Xilin Hot,43.9667,116.0333,11.38,37,2,2.97,CN,1684791995
53,Baukau,51.5526,7.2042,17.81,83,4,2.68,DE,1684791996
54,Bilibino,68.0546,166.4372,3.09,96,100,1.19,RU,1684791996
55,Perşembe,41.0656,37.7714,14.68,92,100,0.63,TR,1684791996
56,Birgunj,27.0104,84.8774,30.09,49,32,5.77,NP,1684791996
57,Līsakovsk,52.5369,62.4936,15.25,49,15,3.32,KZ,1684791997
58,Punta Arenas,-53.15,-70.9167,3.06,75,0,5.14,CL,1684791734
59,Bengkulu,-3.8004,102.2655,23.9,92,57,1.72,ID,1684791818
60,Enewetak,11.3474,162.3373,27.77,77,100,6.84,MH,1684791997
61,Mermoz Boabab,14.7065,-17.4758,23.31,83,0,7.2,SN,1684791997
62,Hawaiian Paradise Park,19.5933,-154.9731,25.57,90,75,5.14,US,1684791998
63,Nuriootpa,-34.4833,139.0,10.86,87,85,0.46,AU,1684791998
64,Lebu,-37.6167,-73.65,12.56,87,100,7.98,CL,1684791998
65,Mejit,10.2753,170.8646,27.79,81,93,7.82,MH,1684791998
66,Tôlanaro,-25.0319,46.9987,22.04,78,40,3.09,MG,1684791998
67,Happy Valley-Goose Bay,53.3168,-60.3315,7.17,42,40,6.69,CA,1684791830
68,Harstad,68.799,16.5293,14.58,65,23,4.02,NO,1684791999
69,Bredasdorp,-34.5322,20.0403,13.2,59,100,1.52,ZA,1684791999
70,Pacocha,-17.5833,-71.3333,21.08,78,75,3.6,PE,1684791999
71,Mahina,-17.5065,-149.489,29.87,70,40,1.54,PF,1684791999
72,Rémire-Montjoly,4.9167,-52.2667,25.02,94,75,0.0,GF,1684791843
73,Sitka,57.0531,-135.33,11.94,58,40,4.12,US,1684792000
74,Nova Sintra,14.8667,-24.7167,20.86,81,100,5.52,CV,1684791796
75,Hamilton,39.1834,-84.5333,27.31,40,20,3.6,US,1684791795
76,Ust'-Kulom,61.6864,53.6902,10.85,68,85,0.29,RU,1684792000
77,Touros,-5.1989,-35.4608,26.37,81,42,6.01,BR,1684792000
78,Yerofey Pavlovich,53.9667,121.9667,9.9,80,100,1.71,RU,1684792000
79,Shelton,41.3165,-73.0932,21.91,63,0,5.14,US,1684792000
80,Port Elizabeth,-33.918,25.5701,15.16,78,0,5.14,ZA,1684792000
81,Kas,36.2018,29.6377,18.54,75,44,4.41,TR,1684792000
82,Sechura,-5.5569,-80.8222,27.92,60,38,6.65,PE,1684792001
83,Santa Maria,-29.6842,-53.8069,20.61,83,75,2.06,BR,1684792001
84,Ribeira Grande,38.5167,-28.7,17.65,80,8,4.47,PT,1684792001
85,Longyearbyen,78.2186,15.6401,3.91,81,75,6.17,SJ,1684792001
86,Smithers,54.7804,-127.1743,11.18,62,100,4.63,CA,1684792001
87,Port Alfred,-33.5906,26.891,14.63,68,100,5.35,ZA,1684791739
88,Hakha,22.65,93.6167,14.39,78,0,1.27,MM,1684792001
89,Lautoka,-17.6167,177.4667,26.92,78,20,2.57,FJ,1684792001
90,Dudinka,69.4058,86.1778,0.9,98,100,8.38,RU,1684792002
91,Laoang,12.5,125.0167,24.41,94,16,0.98,PH,1684792002
92,Tura,25.5198,90.2201,21.42,88,69,1.95,IN,1684791842
93,Dakhla,23.6848,-15.958,20.01,77,100,6.17,EH,1684792002
94,Isafjordur,66.0755,-23.124,5.68,64,89,2.39,IS,1684792002
95,Ambodifotatra,-16.9833,49.85,25.3,80,41,3.89,MG,1684792002
96,Margaret River,-33.95,115.0667,16.59,85,98,4.84,AU,1684792002
97,Ruíz,21.95,-105.15,35.85,29,0,5.14,MX,1684792002
98,Senanga,-16.1167,23.2667,17.92,32,26,2.41,ZM,1684792003
99,Wynyard,-41.0,145.7167,9.99,85,100,2.95,AU,1684792003
100,Pangody,65.85,74.4859,5.37,90,67,4.32,RU,1684792003
101,Qalāt,32.1058,66.9083,24.18,27,98,1.43,AF,1684792003
102,Ivolginsk,51.7492,107.2837,8.81,66,20,0.0,RU,1684792003
103,Arkhara,49.4212,130.0842,13.59,61,1,1.22,RU,1684792003
104,College,64.8569,-147.8028,10.97,76,100,3.6,US,1684791721
105,New Norfolk,-42.7826,147.0587,12.72,73,100,0.45,AU,1684792003
106,Iqaluit,63.7506,-68.5145,-6.15,57,100,3.6,CA,1684792003
107,Egilsstadir,65.2653,-14.3948,7.95,49,0,5.14,IS,1684792004
108,Udachny,66.4167,112.4,0.25,63,94,3.79,RU,1684792004
109,Port Augusta,-32.5,137.7667,9.44,80,52,0.87,AU,1684792004
110,Zaozërsk,69.4005,32.4476,9.16,85,58,1.42,RU,1684792004
111,Whitehorse,60.7161,-135.0538,14.5,29,75,5.66,CA,1684792004
112,Padang,-0.9492,100.3543,25.02,90,100,1.63,ID,1684792004
113,Calingasta,-31.3308,-69.4078,17.32,21,75,3.47,AR,1684792004
114,Domna,51.8971,113.1573,8.09,49,20,1.0,RU,1684792005
115,Cabedelo,-6.9811,-34.8339,26.37,85,9,5.38,BR,1684792005
116,Pampa del Indio,-26.0647,-59.919,23.36,81,100,2.17,AR,1684792005
117,Kuala Belait,4.5833,114.1833,25.09,90,95,1.81,BN,1684792005
118,Hadibu,12.65,54.0333,29.26,70,95,1.23,YE,1684792005
119,Richards Bay,-28.783,32.0377,15.66,81,48,2.18,ZA,1684791821
120,Nuestra Señora del Rosario de Caa Catí,-27.7507,-57.6207,20.67,87,35,2.11,AR,1684792005
121,Iguape,-24.7081,-47.5553,20.03,84,63,3.49,BR,1684792005
122,Santa Terezinha,-29.9002,-50.0904,19.36,84,84,2.3,BR,1684792005
123,Haiku-Pauwela,20.9219,-156.3051,27.32,61,40,9.77,US,1684791807
124,Wuwei,37.9281,102.6414,16.18,45,100,1.77,CN,1684792006
125,Saipan,15.1355,145.701,28.39,100,100,6.17,MP,1684792006
126,Jabor,5.921,169.6434,28.37,79,98,5.17,MH,1684792006
127,Callao,-12.0667,-77.15,24.16,69,40,5.14,PE,1684791876
128,Quaraí,-30.3875,-56.4514,18.19,91,47,2.4,BR,1684792006
129,Kumul,42.8,93.45,16.64,56,77,3.62,CN,1684792006
130,Vilyuysk,63.7553,121.6247,2.7,45,100,2.13,RU,1684792006
131,Tromsø,69.6496,18.957,11.01,50,0,3.6,NO,1684791756
132,Gadzhiyevo,69.2551,33.3362,10.39,79,69,2.55,RU,1684792007
133,Garoowe,8.4054,48.4845,26.31,74,41,4.32,SO,1684792007
134,Alofi,-19.0595,-169.9187,25.94,65,40,3.6,NU,1684792007
135,Wailua Homesteads,22.0669,-159.378,26.44,70,40,6.17,US,1684791765
136,Béjaïa,36.7559,5.0843,16.6,88,20,1.54,DZ,1684792007
137,Beryozovo,63.9381,65.0419,11.76,50,0,1.46,RU,1684792007
138,Oppdal,62.5943,9.6912,8.99,95,90,2.79,NO,1684792007
139,Demyansk,57.643,32.466,9.23,84,68,2.6,RU,1684792007
140,George Town,5.4112,100.3354,26.97,78,20,1.03,MY,1684792007
141,Papatowai,-46.5619,169.4708,9.64,78,100,3.96,NZ,1684792008
142,Kaithal,29.8,76.3833,32.79,25,93,1.56,IN,1684792008
143,Slantsy,59.1182,28.0914,9.52,86,74,1.79,RU,1684792008
144,Juegang,32.3174,121.1855,15.0,69,31,3.0,CN,1684792008
145,Spring Creek,40.7266,-115.5859,25.83,25,33,5.52,US,1684792008
146,Ilebo,-4.3167,20.5833,20.91,98,100,0.37,CD,1684792008
147,Minas de Marcona,-15.2119,-75.1103,16.88,71,50,5.89,PE,1684792008
148,Vila Franca do Campo,37.7167,-25.4333,17.23,90,57,2.26,PT,1684792008
149,Keflavik,64.0049,-22.5624,7.95,100,100,6.17,IS,1684792008
150,Uturoa,-16.7333,-151.4333,27.67,76,22,6.01,PF,1684791765
151,San Ildefonso,15.0809,120.941,27.77,88,25,1.12,PH,1684792009
152,Mbandaka,0.0487,18.2603,20.99,98,72,0.57,CD,1684792009
153,Oranjestad,12.524,-70.027,29.97,80,20,5.14,AW,1684791943
154,Bossangoa,6.4926,17.4552,22.92,91,75,2.43,CF,1684792009
155,Vorkuta,67.5,64.0,4.75,96,45,1.13,RU,1684792009
156,Macaé,-22.3708,-41.7869,22.86,88,20,3.09,BR,1684792009
157,Kidal,18.4411,1.4078,35.7,12,100,6.57,ML,1684792009
158,Douz,33.4663,9.0203,22.76,46,10,9.24,TN,1684792009
159,Qoryooley,1.7878,44.53,25.45,91,24,4.15,SO,1684792010
160,Oranjemund,-28.55,16.4333,12.69,88,96,1.84,NA,1684792010
161,Masterton,-40.9597,175.6575,13.27,81,1,0.24,NZ,1684792010
162,Dryden,49.7833,-92.7503,21.16,43,0,3.6,CA,1684791752
163,Sovetskaya Gavan',48.9723,140.2878,7.05,75,6,0.81,RU,1684792010
164,Suncho Corral,-27.9336,-63.4294,22.77,66,66,5.03,AR,1684792010
165,La Ronge,55.1001,-105.2842,21.14,35,75,3.6,CA,1684792010
166,Tewantin,-26.3833,153.0333,13.31,72,1,2.37,AU,1684792010
167,Cabo San Lucas,22.8909,-109.9124,34.17,21,0,1.54,MX,1684792010
168,Queenstown,-31.8976,26.8753,5.13,70,99,0.61,ZA,1684791774
169,Kudymkar,59.0173,54.656,10.85,92,81,1.43,RU,1684792011
170,Mossamedes,-15.1961,12.1522,21.51,76,1,2.7,AO,1684791799
171,Port-Vila,-17.7338,168.3219,22.78,100,100,4.63,VU,1684792011
